32	0
33	1
34	2
35	3
36	4
37	5
24	6
38	7
39	8
16	9
18	9
19	9
21	9
23	9
40	9
41	9
42	9
43	9
44	9
45	9
46	9
47	9
48	9
49	9
50	9
51	9
52	9
53	9
54	9
55	9
56	9
57	9
58	9
59	9
60	9
61	9
62	9
63	9
64	9
65	9
66	9
67	9
68	9
69	9
70	9
71	9
72	9
73	9
74	9
75	9
76	9
77	9
78	9
79	9
80	9
81	9
82	9
83	9
84	9
85	9
86	9
87	9
88	9
89	9
90	9
91	9
92	9
30	10
93	10
94	10
13	11
25	11
95	12
96	13
3	14
97	14
98	14
99	14
100	14
101	14
102	14
103	14
104	14
105	14
106	14
107	14
108	14
7	15
109	15
4	16
17	16
110	16
111	16
112	16
113	16
114	16
115	16
116	16
117	16
118	16
119	16
120	16
121	16
122	16
123	16
124	16
125	16
126	16
127	16
128	16
129	16
130	16
131	16
132	16
133	16
134	16
135	16
136	17
137	17
138	17
139	17
140	17
141	17
142	17
143	17
144	18
145	19
146	20
147	21
148	21
0	22
2	22
149	22
150	22
151	22
152	22
153	22
154	22
155	22
156	22
157	22
158	22
159	22
160	22
161	22
162	22
163	22
164	22
165	22
166	22
167	22
168	22
169	22
170	22
171	22
172	22
173	22
174	22
175	22
176	22
177	22
178	22
179	22
180	22
181	22
182	22
183	22
184	22
185	22
186	22
187	22
188	22
189	22
190	22
191	22
192	22
193	22
194	22
195	22
196	22
197	22
198	22
199	22
200	22
201	22
202	22
203	22
204	22
205	22
206	22
207	22
208	22
209	22
210	22
211	22
212	22
213	22
214	22
215	22
216	22
217	22
218	22
219	22
220	22
221	22
222	22
223	22
224	22
225	22
226	22
227	23
228	23
229	24
230	24
231	24
232	24
233	25
234	25
235	26
11	27
236	27
237	27
238	27
239	27
240	27
241	27
242	27
1	28
5	28
8	28
26	28
243	28
244	28
245	28
246	28
247	28
248	28
249	28
250	28
251	28
252	28
253	28
254	28
255	28
256	28
257	28
258	28
259	28
260	28
261	28
262	28
263	28
264	28
265	28
266	28
267	28
268	28
269	28
270	28
271	28
272	28
273	28
274	28
275	28
276	28
277	28
278	28
279	28
280	28
281	28
282	28
283	28
284	28
285	28
286	28
287	28
288	28
289	28
290	29
291	29
292	29
293	29
294	29
295	29
296	29
297	29
298	29
299	29
300	29
301	29
302	29
303	29
304	29
305	29
306	29
307	29
308	29
309	29
310	29
311	29
312	30
6	31
9	31
10	31
12	31
14	31
15	31
20	31
22	31
27	31
28	31
29	31
313	31
314	31
315	31
316	31
317	31
318	31
319	31
320	31
321	31
322	31
323	31
324	31
325	31
326	31
327	31
328	31
329	31
330	31
331	31
332	31
333	31
334	31
335	31
336	31
337	31
338	31
339	31
340	31
341	31
342	31
343	31
344	31
345	31
346	31
347	31
348	31
349	31
350	31
351	31
352	31
353	31
354	31
355	31
356	31
357	31
